year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,MBC,General,193.0
2025,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,SC,General,182.0
2025,SSN College of Engineering,SSN Kalavakkam,Self-financing,Chengalpattu,Computer Science and Engineering,OC,General,197.0
2025,SSN College of Engineering,SSN Kalavakkam,Self-financing,Chengalpattu,Computer Science and Engineering,BC,General,196.0
2025,SSN College of Engineering,SSN Kalavakkam,Self-financing,Chengalpattu,Computer Science and Engineering,BCM,General,194.0
2025,SSN College of Engineering,SSN Kalavakkam,Self-financing,Chengalpattu,Computer Science and Engineering,MBC,General,194.0
2025,SSN College of Engineering,SSN Kalavakkam,Self-financing,Chengalpattu,Computer Science and Engineering,SC,General,185.0
2025,Sathyabama Institute of Science and Technology,Sathyabama Chennai,Self-financing,Chennai,Computer Science and Engineering,OC,General,190.0
2025,Sathyabama Institute of Science and Technology,Sathyabama Chennai,Self-financing,Chennai,Computer Science and Engineering,BC,General,188.0
2025,Sathyabama Institute of Science and Technology,Sathyabama Chennai,Self-financing,Chennai,Computer Science and Engineering,BCM,General,185.0
2025,Sathyabama Institute of Science and Technology,Sathyabama Chennai,Self-financing,Chennai,Computer Science and Engineering,MBC,General,185.0
2025,Sathyabama Institute of Science and Technology,Sathyabama Chennai,Self-financing,Chennai,Computer Science and Engineering,SC,General,175.0
2024,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,OC,General,200.0
2024,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,OC,General,200.0
2024,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Computer Science and Engineering,OC,General,199.25
2024,Anna University MIT Campus,MIT Chrompet,Government,Chennai,Electronics and Communication Engineering,OC,General,198.5
2024,PSG College of Technology,PSG Tech,Aided,Coimbatore,Computer Science and Engineering,OC,General,199.0
2024,PSG College of Technology,PSG Tech,Aided,Coimbatore,Electronics and Communication Engineering,OC,General,199.0
2023,Anna University CEG Campus,CEG Chennai,Government,Chennai,Computer Science and Engineering,OC,General,200.0
2023,Anna University CEG Campus,CEG Chennai,Government,Chennai,Electronics and Communication Engineering,OC,General,199.0
2023,PSG College of Technology,PSG Tech,Aided,Coimbatore,Computer Science and Engineering,OC,General,199.0
2023,PSG College of Technology,PSG Tech,Aided,Coimbatore,Electronics and Communication Engineering,OC,General,199.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,OC,General,177.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,BC,General,165.5
